Timestamp (ms),Humidity (%),Temperature (°F),Temperature (°C)
0,43.7,76.64,24.80
2000,45.26,76.56,24.76
4000,44.97,76.7,24.83
6000,45.96,78.22,25.68
8000,46.24,78.51,25.84
10000,42.71,77.71,25.39
12000,46.96,77.94,25.52
14000,44.17,76.7,24.83
16000,46.99,76.59,24.77
18000,44.94,76.88,24.93
20000,48.61,77.71,25.39
22000,46.18,78.38,25.77
24000,48.01,78.86,26.03
26000,43.61,77.21,25.12
28000,46.36,76.38,24.66
30000,44.6,75.84,24.36
32000,46.23,78.04,25.58
34000,46.02,77.57,25.32
36000,44.29,74.96,23.87
38000,42.1,77.88,25.49
40000,45.76,76.69,24.83
42000,45.5,77.22,25.12
44000,45.43,73.91,23.28
46000,45.24,77.26,25.14
48000,44.71,77.05,25.03
50000,44.85,76.58,24.77
52000,45.36,76.41,24.67
54000,46.71,76.44,24.69
56000,45.56,77.41,25.23
58000,44.12,76.52,24.73
60000,43.73,77.91,25.51
62000,44.98,77.67,25.37
64000,45.15,77.8,25.44
66000,45.38,77.62,25.34
68000,45.66,76.7,24.83
70000,43.48,77.61,25.34
72000,44.8,77.22,25.12
74000,44.23,75.88,24.38
76000,43.01,78.14,25.63
78000,44.65,77.73,25.41
80000,44.56,77.24,25.13
82000,43.63,78.17,25.65
84000,43.35,76.92,24.96
86000,47.1,77.02,25.01
88000,46.46,78.07,25.59
90000,45.26,76.75,24.86
92000,45.39,76.77,24.87
94000,47.51,76.97,24.98
96000,42.73,78.71,25.95
98000,44.35,75.94,24.41
100000,43.83,76.82,24.90
102000,44.69,76,24.44
104000,47.52,76.5,24.72
106000,43.93,77.3,25.17
108000,49.41,77.89,25.49
110000,42.28,78.01,25.56
112000,45.03,77.39,25.22
114000,46.03,76.76,24.87
116000,45.46,76.72,24.84
118000,46.42,76.41,24.67
120000,45.82,76.74,24.86
122000,44.65,76.55,24.75
124000,42.5,77.47,25.26
126000,43.72,76.66,24.81
128000,45.33,75.35,24.08
130000,44.75,78.1,25.61
132000,45.44,77.3,25.17
134000,46.6,75.08,23.93
136000,46.91,76.44,24.69
138000,44.15,77.14,25.08
140000,45.64,77.11,25.06
142000,45.21,76.62,24.79
144000,43.72,76.84,24.91
146000,45.38,77.09,25.05
148000,44.15,76.48,24.71
150000,46.74,76.54,24.74
152000,44.23,76.71,24.84
154000,43.97,78.33,25.74
156000,44.51,77.36,25.20
158000,45.93,77.5,25.28
160000,45.38,77.74,25.41
162000,43,78.42,25.79
164000,46.61,76.54,24.74
166000,45.35,76.04,24.47
168000,43.89,77.37,25.21
170000,44,78.48,25.82
172000,45.74,75.47,24.15
174000,43.72,76.96,24.98
176000,44.42,76.53,24.74
178000,45.46,77.96,25.53
180000,45.22,75.76,24.31
182000,47.46,76.98,24.99
184000,46.1,77.67,25.37
186000,46.06,77.64,25.36
188000,44.03,76.91,24.95
190000,45.97,76.84,24.91
192000,45.3,77.08,25.04
194000,45.25,77.27,25.15
196000,47.46,78.25,25.69
198000,45.17,76.64,24.80
200000,45.12,76.35,24.64
202000,41.98,77.83,25.46
204000,47.39,77.4,25.22
206000,45.35,77.49,25.27
208000,43.29,79.81,26.56
210000,45.95,74.98,23.88
212000,47.96,77.38,25.21
214000,45.42,76.1,24.50
216000,44.29,77.19,25.11
218000,44.12,76.81,24.89
220000,47.06,73.93,23.29
222000,45.9,77,25.00
224000,45.29,76.71,24.84
226000,44.96,76.9,24.94
228000,45.38,77.57,25.32
230000,45.83,77.81,25.45
232000,45.17,76.66,24.81
234000,44,77.36,25.20
236000,44.06,76.66,24.81
238000,43.86,78.05,25.58
240000,44.93,78.65,25.92
242000,45.76,78.09,25.61
244000,44.05,77.25,25.14
246000,47.11,77.52,25.29
248000,43.77,77.82,25.46
250000,45.06,75.87,24.37
252000,41.21,78.38,25.77
254000,44.55,76.29,24.61
256000,45.71,77.39,25.22
258000,46.45,77.97,25.54
260000,43.57,76.66,24.81
262000,44.78,78.46,25.81
264000,45.83,76.95,24.97
266000,44.64,76.58,24.77
268000,44.77,77.35,25.19
270000,45.34,77.56,25.31
272000,44.29,76.28,24.60
274000,47.58,76.11,24.51
276000,43.57,75.79,24.33
278000,45.25,77.71,25.39
280000,46.39,76.74,24.86
282000,46.17,76.86,24.92
284000,45.16,75.84,24.36
286000,45.15,75.69,24.27
288000,45.33,77.53,25.29
290000,48.45,76.78,24.88
292000,46.23,77.99,25.55
294000,44.12,77.38,25.21
296000,43.92,75.95,24.42
298000,44.56,77.47,25.26
300000,45.54,77.3,25.17
302000,45.55,76.03,24.46
304000,43.85,75.44,24.13
306000,46.18,75.54,24.19
308000,44.44,77.37,25.21
310000,44.26,78.43,25.79
312000,45.28,76.86,24.92
314000,43.34,77.94,25.52
316000,42.39,76.05,24.47
318000,44.81,76.4,24.67
320000,44.69,77.74,25.41
322000,44.18,76.78,24.88
324000,46.83,77.63,25.35
326000,45.2,77.01,25.01
328000,45.46,76.06,24.48
330000,43.96,76.37,24.65
332000,44.49,77.24,25.13
334000,43.97,76.07,24.48
336000,47.25,77.15,25.08
338000,45.14,76.61,24.78
340000,44.81,76.84,24.91
342000,45.53,75.91,24.39
344000,46.19,77.62,25.34
346000,44.52,77.28,25.16
348000,41.32,77.13,25.07
350000,45.53,76.78,24.88
352000,44.04,77.75,25.42
354000,45.32,77.47,25.26
356000,45.92,76.58,24.77
358000,43.47,78.25,25.69
360000,43.66,77.35,25.19
362000,44.57,76.41,24.67
364000,46.87,74.84,23.80
366000,47.22,75.98,24.43
368000,44.81,76.53,24.74
370000,47.37,76.94,24.97
372000,46.2,76.9,24.94
374000,47.31,77.08,25.04
376000,42.89,76.99,24.99
378000,44.06,78.84,26.02
380000,42.05,76.67,24.82
382000,45.63,75.78,24.32
384000,43.86,76.69,24.83
386000,44.68,77.51,25.28
388000,46.58,77.01,25.01
390000,46.07,77.3,25.17
392000,46.87,76.28,24.60
394000,44.51,76.77,24.87
396000,43.77,77.31,25.17
398000,43.52,76.51,24.73
400000,46.43,76.92,24.96
402000,44.26,77.43,25.24
404000,43.01,76.75,24.86
406000,43.99,77.48,25.27
408000,45.32,77.29,25.16
410000,45.19,76.48,24.71
412000,47.09,75.35,24.08
414000,44.34,77.85,25.47
416000,42.9,77.77,25.43
418000,45.63,76.56,24.76
420000,41.5,76.99,24.99
422000,45.12,77.76,25.42
424000,44.86,77.2,25.11
426000,47.13,76.16,24.53
428000,47.94,76.64,24.80
430000,44.75,78.29,25.72
432000,44.31,77.47,25.26
434000,45.92,77.03,25.02
436000,43.87,77.57,25.32
438000,41.98,77.1,25.06
440000,44.6,77.85,25.47
442000,47.02,78.14,25.63
444000,46.27,77.27,25.15
446000,45.97,77.01,25.01
448000,44.56,76.3,24.61
450000,45.88,76.68,24.82
452000,45.46,75.77,24.32
454000,44.16,77.57,25.32
456000,47.09,77.63,25.35
458000,44.24,75.75,24.31
460000,48.77,77.55,25.31
462000,45.14,77.46,25.26
464000,44.65,79.34,26.30
466000,45.74,76.12,24.51
468000,44.51,77.03,25.02
470000,44.94,76.07,24.48
472000,44.69,77.33,25.18
474000,45.73,77.15,25.08
476000,48.5,77.26,25.14
478000,44.6,75.77,24.32
480000,44.15,77.54,25.30
482000,41.96,76.1,24.50
484000,43.69,78.05,25.58
486000,45.32,77.37,25.21
488000,43.11,76.97,24.98
490000,47.43,77.47,25.26
492000,44.78,75.99,24.44
494000,45.22,75.76,24.31
496000,44.75,77.38,25.21
498000,46.85,77.44,25.24
500000,44.95,76.92,24.96
502000,45.11,78.65,25.92
504000,44.61,77.08,25.04
506000,43.23,78.4,25.78
508000,43.78,77.21,25.12
510000,45.12,77.13,25.07
512000,44.13,76.93,24.96
514000,44.13,78.33,25.74
516000,45.5,76.2,24.56
518000,44.61,77.25,25.14
520000,41.28,77.21,25.12
522000,44.17,77.18,25.10
524000,43.48,76.38,24.66
526000,44.91,76.45,24.69
528000,43.69,76.59,24.77
530000,44.54,76.11,24.51
532000,46.65,76.88,24.93
534000,45.6,74.79,23.77
536000,45.92,76.65,24.81
538000,43.86,75.7,24.28
540000,46.45,76.73,24.85
542000,43.68,78.26,25.70
544000,42.09,78.52,25.84
546000,44.68,76.37,24.65
548000,47.14,77.56,25.31
550000,43.7,78.84,26.02
552000,43.18,76.41,24.67
554000,44.75,76.73,24.85
556000,46.27,77.3,25.17
558000,46.88,77.12,25.07
560000,45.32,77.93,25.52
562000,43.07,78.67,25.93
564000,45.07,77.38,25.21
566000,43.08,77.91,25.51
568000,47.26,77.44,25.24
570000,45.79,78.97,26.09
572000,46.18,78.4,25.78
574000,44.02,76.34,24.63
576000,46.78,75.33,24.07
578000,46.75,78.9,26.06
580000,47.03,76.87,24.93
582000,47.61,78.46,25.81
584000,46.07,75.87,24.37
586000,43.34,76.57,24.76
588000,44.79,77.94,25.52
590000,45.83,77.66,25.37
592000,45.12,77.14,25.08
594000,45.6,76.03,24.46
596000,45.5,77.88,25.49
598000,44.57,77.14,25.08
600000,46.74,76.87,24.93
602000,45.72,78.24,25.69
604000,44.43,76.23,24.57
606000,46.06,76.48,24.71
608000,44.78,77.26,25.14
610000,43.53,77.65,25.36
612000,41.9,76.22,24.57
614000,45.65,77.37,25.21
616000,45.37,76.38,24.66
618000,46.45,77.04,25.02
620000,44.99,75.91,24.39
622000,44.88,77.83,25.46
624000,44.64,77.04,25.02
626000,44.98,78.22,25.68
628000,44.43,76.41,24.67
630000,45.75,78.95,26.08
632000,47.1,75.75,24.31
634000,45.78,77.31,25.17
636000,46.55,76.68,24.82
638000,46.57,75.86,24.37
640000,44.44,77.24,25.13
642000,42.22,77.08,25.04
644000,44.83,77.68,25.38
646000,46.39,76.51,24.73
648000,46.09,75.92,24.40
650000,46.42,77.85,25.47
652000,44.39,76,24.44
654000,45.07,75.12,23.96
656000,44.77,76.95,24.97
658000,43.96,76.19,24.55
660000,40.87,77.12,25.07
662000,45.37,75.81,24.34
664000,45.42,77.11,25.06
666000,47.99,76.59,24.77
668000,45.79,76.31,24.62
670000,42.51,77.09,25.05
672000,45.13,76.59,24.77
674000,45.26,76.91,24.95
676000,43.58,77.49,25.27
678000,46.85,78.36,25.76
680000,44.51,78.71,25.95
682000,43.55,77.46,25.26
684000,44.23,75.71,24.28
686000,42.44,77.34,25.19
688000,44.7,75.99,24.44
690000,46.44,76.36,24.64
692000,46.08,75.54,24.19
694000,46.66,79.4,26.33
696000,46.23,78.85,26.03
698000,46.12,78.06,25.59
700000,44.27,76.93,24.96
702000,47.09,76.67,24.82
704000,42.46,74.7,23.72
706000,44.78,77.18,25.10
708000,41.91,75.06,23.92
710000,45.64,77.61,25.34
712000,45.22,77.01,25.01
714000,43.32,75.91,24.39
716000,42.78,76.71,24.84
718000,44.83,75.76,24.31
720000,43.13,76.75,24.86
