Timestamp (ms),Humidity (%),Temperature (°F),Temperature (°C)
0,65.28,60.03,15.57
2000,71.87,62.29,16.83
4000,58.21,67.77,19.87
6000,61.09,61.45,16.36
8000,57.45,59.65,15.36
10000,65.51,62.56,16.98
12000,68.88,59.5,15.28
14000,73.6,65.28,18.49
16000,70.39,62.44,16.91
18000,71.04,61.57,16.43
20000,73.76,60.3,15.72
22000,64.25,60.8,16.0
24000,59.36,66.38,19.1
26000,58.1,64.09,17.83
28000,73.36,59.43,15.24
30000,60.28,59.72,15.4
32000,58.25,61.95,16.64
34000,71.64,65.3,18.5
36000,66.03,62.02,16.68
38000,60.03,63.39,17.44
40000,66.96,61.43,16.35
42000,65.39,66.33,19.07
44000,66.31,61.77,16.54
46000,65.43,66.6,19.22
48000,62.15,62.8,17.11
50000,60.43,59.95,15.53
52000,64.73,62.96,17.2
54000,56.21,66.97,19.43
56000,62.58,63.79,17.66
58000,63.51,60.33,15.74
60000,74.88,61.9,16.61
62000,71.37,59.14,15.08
64000,72.03,64.15,17.86
66000,58.61,60.93,16.07
68000,69.14,67.12,19.51
70000,57.45,62.65,17.03
72000,67.81,67.69,19.83
74000,67.96,67.03,19.46
76000,73.74,67.01,19.45
78000,58.74,61.0,16.11
80000,63.32,62.31,16.84
82000,61.73,59.61,15.34
84000,55.77,61.88,16.6
86000,71.94,65.14,18.41
88000,67.62,62.33,16.85
90000,66.89,64.62,18.12
92000,65.24,67.41,19.67
94000,58.13,61.02,16.12
96000,57.53,66.56,19.2
98000,66.1,60.03,15.57
100000,72.48,64.74,18.19
102000,57.06,65.93,18.85
104000,55.66,59.04,15.02
106000,66.15,59.36,15.2
108000,57.91,64.42,18.01
110000,66.46,60.3,15.72
112000,60.76,59.23,15.13
114000,63.32,64.15,17.86
116000,72.95,67.42,19.68
118000,67.74,62.76,17.09
120000,74.74,60.19,15.66
122000,67.05,61.47,16.37
124000,59.29,60.03,15.57
126000,63.54,62.11,16.73
128000,74.86,66.27,19.04
130000,65.03,66.02,18.9
132000,73.87,59.92,15.51
134000,56.02,65.46,18.59
136000,60.21,65.77,18.76
138000,63.36,62.19,16.77
140000,58.24,64.74,18.19
142000,74.88,65.19,18.44
144000,71.65,66.49,19.16
146000,56.31,67.6,19.78
148000,63.69,59.54,15.3
150000,65.56,60.39,15.77
152000,69.68,63.72,17.62
154000,69.19,66.15,18.97
156000,67.24,59.43,15.24
158000,61.83,60.87,16.04
160000,56.61,66.96,19.42
162000,58.3,62.71,17.06
164000,63.86,66.04,18.91
166000,65.88,59.85,15.47
168000,61.99,67.19,19.55
170000,60.87,64.15,17.86
172000,57.76,60.13,15.63
174000,73.7,59.67,15.37
176000,74.46,60.48,15.82
178000,56.4,63.75,17.64
180000,62.18,63.32,17.4
182000,67.27,67.24,19.58
184000,62.6,66.16,18.98
186000,67.23,63.66,17.59
188000,64.84,67.96,19.98
190000,62.6,67.41,19.67
192000,74.35,67.26,19.59
194000,74.06,62.17,16.76
196000,71.63,67.62,19.79
198000,73.84,65.7,18.72
200000,58.62,61.92,16.62
202000,71.56,59.29,15.16
204000,66.77,59.02,15.01
206000,62.11,67.93,19.96
208000,66.43,64.04,17.8
210000,60.15,59.09,15.05
212000,69.2,63.82,17.68
214000,65.74,62.29,16.83
216000,68.75,65.35,18.53
218000,72.79,63.63,17.57
220000,57.32,64.35,17.97
222000,57.97,66.51,19.17
224000,69.44,67.14,19.52
226000,59.95,60.58,15.88
228000,60.35,64.04,17.8
230000,62.41,62.91,17.17
232000,60.31,63.63,17.57
234000,55.93,67.14,19.52
236000,60.03,67.01,19.45
238000,57.55,65.03,18.35
240000,57.31,67.86,19.92
242000,59.11,65.62,18.68
244000,73.76,61.23,16.24
246000,61.44,65.26,18.48
248000,69.56,66.4,19.11
250000,69.37,61.77,16.54
252000,67.23,65.55,18.64
254000,72.37,63.32,17.4
256000,60.39,62.49,16.94
258000,66.1,64.76,18.2
260000,64.69,63.34,17.41
262000,62.74,62.6,17.0
264000,65.18,64.17,17.87
266000,57.35,59.94,15.52
268000,71.97,60.94,16.08
270000,62.26,63.05,17.25
272000,56.01,66.45,19.14
274000,61.7,67.1,19.5
276000,71.81,63.37,17.43
278000,67.49,60.6,15.89
280000,58.25,67.44,19.69
282000,67.58,66.15,18.97
284000,68.38,60.53,15.85
286000,73.04,59.25,15.14
288000,62.97,67.37,19.65
290000,61.75,62.06,16.7
292000,67.23,65.59,18.66
294000,57.08,62.29,16.83
296000,68.29,62.89,17.16
298000,70.32,66.13,18.96
300000,57.2,59.16,15.09
302000,71.36,61.39,16.33
304000,70.98,59.05,15.03
306000,57.85,65.28,18.49
308000,64.52,62.22,16.79
310000,66.8,66.99,19.44
312000,63.79,66.81,19.34
314000,67.17,67.59,19.77
316000,57.93,65.55,18.64
318000,68.68,63.75,17.64
320000,74.52,64.72,18.18
322000,58.94,65.68,18.71
324000,69.75,60.31,15.73
326000,63.45,64.6,18.11
328000,55.59,66.29,19.05
330000,65.02,66.58,19.21
332000,65.63,64.96,18.31
334000,67.23,60.46,15.81
336000,64.37,67.68,19.82
338000,56.85,59.47,15.26
340000,69.35,61.3,16.28
342000,61.15,66.27,19.04
344000,73.71,61.32,16.29
346000,59.43,63.46,17.48
348000,66.44,61.14,16.19
350000,67.22,66.88,19.38
352000,70.77,63.82,17.68
354000,69.61,67.32,19.62
356000,65.03,62.85,17.14
358000,55.45,61.5,16.39
360000,64.81,61.95,16.64
362000,70.55,62.76,17.09
364000,71.96,65.39,18.55
366000,67.01,67.84,19.91
368000,66.76,62.65,17.03
370000,62.47,61.84,16.58
372000,68.48,62.26,16.81
374000,64.39,66.97,19.43
376000,58.73,63.25,17.36
378000,64.24,66.7,19.28
380000,55.49,67.98,19.99
382000,62.52,63.25,17.36
384000,58.07,62.83,17.13
386000,55.5,60.46,15.81
388000,60.5,60.78,15.99
390000,67.85,61.14,16.19
392000,73.41,63.54,17.52
394000,73.5,66.9,19.39
396000,55.03,59.29,15.16
398000,68.26,66.45,19.14
400000,57.51,65.48,18.6
402000,63.74,64.72,18.18
404000,62.85,59.13,15.07
406000,58.58,63.86,17.7
408000,69.17,66.51,19.17
410000,62.19,63.14,17.3
412000,60.93,64.24,17.91
414000,69.8,60.85,16.03
416000,57.98,61.25,16.25
418000,70.74,65.46,18.59
420000,66.21,66.36,19.09
422000,61.27,64.27,17.93
424000,65.29,60.21,15.67
426000,68.24,64.06,17.81
428000,74.19,62.6,17.0
430000,63.63,59.63,15.35
432000,69.99,67.01,19.45
434000,63.68,60.35,15.75
436000,58.89,64.56,18.09
438000,67.71,65.55,18.64
440000,58.06,61.07,16.15
442000,55.03,63.39,17.44
444000,68.37,67.48,19.71
446000,70.58,61.3,16.28
448000,59.3,62.11,16.73
450000,70.11,60.91,16.06
452000,65.42,66.36,19.09
454000,68.27,67.37,19.65
456000,73.02,64.8,18.22
458000,55.15,63.25,17.36
460000,57.7,65.14,18.41
462000,57.08,59.97,15.54
464000,55.48,63.43,17.46
466000,62.41,64.06,17.81
468000,57.63,65.01,18.34
470000,64.46,64.38,17.99
472000,60.69,62.58,16.99
474000,61.25,66.78,19.32
476000,63.07,65.91,18.84
478000,58.63,64.13,17.85
480000,55.52,66.22,19.01
482000,55.07,63.59,17.55
484000,66.3,67.03,19.46
486000,57.68,60.3,15.72
488000,58.56,66.13,18.96
490000,58.7,66.36,19.09
492000,72.33,62.83,17.13
494000,70.98,64.54,18.08
496000,66.97,62.64,17.02
498000,58.94,66.47,19.15
500000,63.9,61.0,16.11
502000,73.29,66.61,19.23
504000,62.42,59.68,15.38
506000,68.41,67.66,19.81
508000,72.36,63.73,17.63
510000,69.93,63.97,17.76
512000,65.87,65.14,18.41
514000,72.37,65.28,18.49
516000,69.33,63.97,17.76
518000,74.76,63.14,17.3
520000,70.66,60.96,16.09
522000,74.83,61.38,16.32
524000,69.5,64.85,18.25
526000,60.87,60.1,15.61
528000,69.09,59.41,15.23
530000,64.74,63.16,17.31
532000,62.45,65.95,18.86
534000,58.19,61.7,16.5
536000,66.56,59.43,15.24
538000,62.9,64.31,17.95
540000,73.05,66.34,19.08
542000,60.19,59.23,15.13
544000,57.62,64.67,18.15
546000,58.16,60.26,15.7
548000,69.98,60.28,15.71
550000,55.5,61.41,16.34
552000,68.33,59.54,15.3
554000,71.8,65.8,18.78
556000,67.34,65.43,18.57
558000,63.41,61.11,16.17
560000,63.61,67.78,19.88
562000,73.85,63.72,17.62
564000,68.26,59.9,15.5
566000,71.32,67.06,19.48
568000,67.95,64.81,18.23
570000,58.37,61.52,16.4
572000,68.27,60.53,15.85
574000,59.01,65.53,18.63
576000,56.74,62.11,16.73
578000,65.83,60.04,15.58
580000,65.53,61.41,16.34
582000,65.16,60.22,15.68
584000,55.23,66.87,19.37
586000,71.22,63.27,17.37
588000,60.77,61.03,16.13
590000,69.91,64.31,17.95
592000,67.68,61.25,16.25
594000,56.69,59.23,15.13
596000,55.5,62.67,17.04
598000,70.03,63.09,17.27
600000,66.11,61.59,16.44
602000,56.1,65.7,18.72
604000,63.28,64.85,18.25
606000,68.29,62.94,17.19
608000,68.37,61.66,16.48
610000,69.5,61.9,16.61
612000,72.8,65.77,18.76
614000,63.81,61.43,16.35
616000,69.38,64.74,18.19
618000,66.61,66.92,19.4
620000,58.47,62.28,16.82
622000,69.18,61.63,16.46
624000,62.47,64.11,17.84
626000,67.56,67.89,19.94
628000,73.89,61.05,16.14
630000,68.71,59.13,15.07
632000,68.99,60.13,15.63
634000,57.48,63.1,17.28
636000,67.64,66.9,19.39
638000,67.35,66.87,19.37
640000,62.1,66.11,18.95
642000,55.88,61.29,16.27
644000,65.34,59.65,15.36
646000,72.57,65.97,18.87
648000,66.62,65.05,18.36
650000,68.33,63.18,17.32
652000,69.38,67.3,19.61
654000,55.13,67.93,19.96
656000,74.92,67.19,19.55
658000,71.56,59.45,15.25
660000,72.37,66.65,19.25
662000,60.04,67.01,19.45
664000,65.06,64.65,18.14
666000,68.88,65.3,18.5
668000,62.98,66.36,19.09
670000,69.84,67.6,19.78
672000,72.17,63.25,17.36
674000,61.85,59.18,15.1
676000,69.01,65.68,18.71
678000,62.07,63.81,17.67
680000,62.79,65.32,18.51
682000,58.12,60.66,15.92
684000,61.55,67.44,19.69
686000,62.3,62.04,16.69
688000,68.22,67.57,19.76
690000,72.76,60.87,16.04
692000,59.18,64.38,17.99
694000,63.05,65.12,18.4
696000,65.53,59.92,15.51
698000,59.73,66.51,19.17
700000,67.19,60.67,15.93
702000,63.79,67.24,19.58
704000,64.4,66.78,19.32
706000,57.47,66.11,18.95
708000,61.0,59.23,15.13
710000,74.52,62.62,17.01
712000,59.04,67.33,19.63
714000,72.12,63.16,17.31
716000,58.11,60.8,16.0
718000,55.29,60.84,16.02
720000,73.12,63.7,17.61
722000,68.42,59.4,15.22
724000,71.23,59.92,15.51
726000,58.84,66.31,19.06
728000,68.27,62.46,16.92
730000,66.97,66.7,19.28
732000,74.58,63.34,17.41
734000,55.05,66.2,19.0
736000,57.94,67.73,19.85
738000,56.94,65.62,18.68
740000,74.78,62.24,16.8
742000,72.14,59.2,15.11
744000,66.73,64.58,18.1
746000,74.04,64.9,18.28
748000,71.12,61.21,16.23
750000,72.41,67.3,19.61
752000,64.53,59.36,15.2
754000,74.87,65.7,18.72
756000,68.97,62.89,17.16
758000,61.24,66.42,19.12
760000,61.58,66.99,19.44
762000,69.94,60.87,16.04
764000,70.31,61.57,16.43
766000,66.01,67.51,19.73
768000,58.75,62.13,16.74
770000,61.69,65.43,18.57
772000,68.94,64.22,17.9
774000,65.57,65.84,18.8
